cdi,pl,lo,pn,ld,t,cb,ct,c,fr,hr,lc,lt,situation,id
"8474193732427","Property","closed","@ C L$Y$ 92$7# 2#2$6F$@G","24.02.2019","26.12.2027 01:20:30","Dundee Derivatives Brokers","medium","EUR","non-fault","web","While attempting to breakdance on a slippery dance floor, I ended up doing the splits and tearing my pants.","motor","ENG","30.07.2023 21:45:43"
"2953642840800","Road Risks","open","!$C@ L#!Y@#1@!4$@3#@0#26 #G! U","18.12.2018","30.10.2027 00:39:52","Belfast Business Brokers","low","EUR","","web","I thought it would be funny to dress up as a superhero and attempt to fly off a low roof, but I ended up crash-landing into a bush.","motor","NIR","30.07.2023 21:45:43"
"7349587587013","Commercial Auto Line","open","$ C@L#$Y!4! 7!9@#258!$K# K","15.12.2022","19.08.2025 08:11:15","Belfast Bond Traders","medium","EUR","non-fault","phone","I thought it would be fun to ride a shopping cart down a steep hill, but it quickly got out of control and crashed into a parked car.","motor","WAL","30.07.2023 21:45:43"
"4860687482417","Commercial Auto Line","closed"," #C$@LY!1@41@4@1@#9E!N","","26.05.2025 14:27:34","Edinburgh Equity Exchange","high","GBP","fault","web","I decided to test the endurance of my trampoline by attempting a double backflip, but I overshot and landed in a tree.","motor","SCO","30.07.2023 21:45:43"
"5423491531486","Road Risks","closed","$@C#!LY#!00371 !4#@B $L","01.05.2021","26.07.2025 01:06:08","Cambridge Capital Advisors","low","EUR","not applicable","phone","","motor","WAL","30.07.2023 21:45:43"
"7846592075642","Road Risks","closed","$C$#L$ Y@!9#9$3$ 4!@8 #3#@S !N","12.06.2019","24.08.2026 04:43:11","Belfast Bridge Street Brokers","low","GBP","unknown","other","","motor","WAL","30.07.2023 21:45:43"
"5726558689912","Personal Auto Line","closed","CL!Y#@7#@1 #8#$0$!1 #5 O@!C","28.09.2018","03.05.2026 18:31:53","Manchester Money Market","","GBP","fault","phone","I decided to test the flotation capabilities of my inflatable pool toys by using them in a regular swimming pool, only to discover they were not designed for it and promptly deflated.","motor","WAL","30.07.2023 21:45:43"
"1608931039543","Property","closed","@$C $L Y@!5!#70$884@ KA","24.10.2021","18.06.2028 19:38:49","Cardiff Capital Consultants","medium","GBP","non-fault","phone","While attempting to fix a leaky faucet, I accidentally broke the handle and water started spraying everywhere.","motor","SCO","30.07.2023 21:45:43"
"238042807426","Road Risks","closed","# C L@ Y #3$!2 !7 !2 0@4U@K","21.09.2018","02.10.2023 07:49:19","Kent Key Investments","high","EUR","","phone","","motor","SCO","30.07.2023 21:45:43"
"7941835637664","Personal Auto Line","closed"," $CL Y#!4#7!$8#!0 @1 @0@E#Y","14.10.2019","03.04.2028 14:02:41","Aberdeen Advisory Group","","GBP","non-fault","phone","","motor","ENG","30.07.2023 21:45:43"
"4364107401155","Property","open","C !L#@Y@#1@7 @4$#1! 2#!9#@O# U","28.09.2020","27.06.2025 17:00:06","Glasgow Gatekeepers","medium","EUR","not applicable","web","I thought it would be fun to try water skiing in a small inflatable pool, but I ended up flipping over and getting stuck with my feet in the air.","motor","NIR","30.07.2023 21:45:43"
"436368747407","Commercial Auto Line","open","C $L@ Y5 $4 @74!#1@#2 L$!B","15.06.2022","26.06.2025 04:14:06","Manchester Money Managers","low","GBP","non-fault","phone","I thought it would be fun to use my leaf blower to simulate a tornado, but it ended up blowing away my neighbor's laundry.","motor","SCO","30.07.2023 21:45:43"
"4292907574699","Road Risks","open","@!C#!L#!Y0!#7$24$7!@5#!S@V","24.01.2022","26.02.2025 01:27:03","Dundee Investment Services","low","EUR","fault","phone","While attempting to fix a leaky faucet, I accidentally broke the handle and water started spraying everywhere.","motor","ENG","30.07.2023 21:45:43"
"9073725420614","Personal Auto Line","open","@$C$@L#Y6!$3!#3!@60$ 9$ W @Y","17.05.2019","20.11.2024 09:48:36","Glasgow Gate Capital","high","GBP","non-fault","web","I thought it would be funny to try riding a unicycle while juggling knives, but it quickly turned into a chaotic scene with knives flying in all directions.","motor","ENG","30.07.2023 21:45:43"
"5300720176905","Property","open","CL !Y03 #9@#2@$5$#5$@O@$W","09.08.2018","09.11.2024 11:22:06","Kent Financial Group","high","GBP","not applicable","web","I thought it would be funny to dress up as a superhero and attempt to fly off a swing, but I ended up face-planting into the ground.","motor","SCO","30.07.2023 21:45:43"
"1850799202987","Personal Auto Line","open","$@C!#L!$Y@#10$ 3!@1!@7 4$L#$G","04.02.2023","","Newcastle National Wealth","medium","EUR","not applicable","mail","I decided to test the strength of a chair by standing on it, but it collapsed, and I fell onto the floor.","motor","WAL","30.07.2023 21:45:43"
"9332862829962","Road Risks","open","C$@L!#Y $1!@5$!96#$1@ 4F $N","27.03.2021","13.11.2025 17:59:40","Cardiff Capital Trust","high","EUR","not applicable","phone","","motor","ENG","30.07.2023 21:45:43"
"6677818271884","Property","open"," CL#Y$!3@5@#9!3 $7#$3!QA","10.10.2022","25.01.2024 13:59:02","Aberdeen Advisory Services","high","EUR","fault","phone","I thought it would be fun to try tightrope walking between two trees, but I ended up falling and getting tangled in a clothesline.","motor","SCO","30.07.2023 21:45:43"
"674251726275","Personal Auto Line","closed","@$CL !Y# 6# 7!#1 #8@$1@2@!M$ R","18.11.2021","01.02.2027 04:07:51","Union Street Securities","medium","GBP","non-fault","phone","I thought it would be fun to try rollerblading down a steep hill, but I quickly lost control and crashed into a parked ice cream truck.","","WAL","30.07.2023 21:45:43"
"2035065482278","Road Risks","closed","CL#Y! 59@ 60$3 #0 #E$!S","22.12.2022","","Windsor Securities","low","GBP","fault","web","I decided to test the slipperiness of a banana peel by stepping on it, but it sent me sliding across the floor and crashing into a bookshelf.","motor","WAL","30.07.2023 21:45:43"
"6122608472269","Road Risks","closed"," #C$L!Y$ 3# 2#$1$2$7# 4@#V! M","14.02.2023","03.02.2024 05:41:37","Bristol Capital Advisors","high","EUR","not applicable","phone","I decided to test the durability of my new shoes by wearing them during a muddy obstacle course race, only to have them completely ruined by the end.","motor","SCO","30.07.2023 21:45:43"
"6225313382366","Commercial Auto Line","closed","!$C@#L @Y7@#0#@5@!7@#2# 8# K!W","18.07.2019","18.08.2026 18:16:40","Yorkshire Financial Group","low","EUR","not applicable","phone","I accidentally mistook a can of spray paint for deodorant and ended up with purple armpits for a week.","motor","ENG","30.07.2023 21:45:43"
"4779442563409","Personal Auto Line","open","#C #L!#Y#4#!2!$1$!0$1@!5$!Y!#O","06.01.2020","17.03.2028 10:06:10","Cardiff Investment Group","low","EUR","non-fault","web","While attempting to fix a leaky roof, I accidentally stepped on a weak spot and fell through the ceiling, landing in the living room.","motor","WAL","30.07.2023 21:45:43"
"185532760678","Property","closed"," !C $L$ Y#$9#!0 #2# 4$@0#@0$@S@$L","25.01.2020","19.05.2026 20:18:08","Cambridge Corporate Finance","low","EUR","not applicable","phone","","","SCO","30.07.2023 21:45:43"
"5180512659604","","closed","$C @L$#Y!@8$!9$ 84$@7 !7$ZU","02.01.2023","19.09.2024 17:54:35","Glasgow Glen Securities","medium","EUR","unknown","phone","While trying to impress my friends with my dance moves, I tripped on my shoelaces and fell into a cake.","motor","WAL","30.07.2023 21:45:43"
"4437781374338","Road Risks","open","C$#L$!Y$!0 9$!7! 7 #8 5 T! L","23.05.2022","08.04.2028 05:47:38","Edinburgh Elite Equity","high","GBP","non-fault","mail","","motor","SCO","30.07.2023 21:45:43"
"7920598476243","Property","closed"," @C! L #Y!$5#@1 !5!$8@ 8 #4# T F","22.07.2020","10.05.2028 02:49:55","Edinburgh Elite Equity","high","EUR","","phone","During a backyard barbecue, I accidentally launched a flaming marshmallow into a neighbor's garden, setting their flowers ablaze.","motor","SCO","30.07.2023 21:45:43"
"6575874943499","Commercial Auto Line","closed","CL$#Y5$@521$#9#@1 @E @G","01.04.2019","02.10.2025 00:26:47","Britannia Brokers","low","GBP","unknown","phone","I decided to test the durability of my running shoes by participating in a marathon, but they fell apart halfway through the race.","motor","SCO","30.07.2023 21:45:43"
"1005841820357","Personal Auto Line","closed","$C#!L $Y#@2! 7! 7#74$ 8T!V","20.11.2020","23.12.2025 01:00:47","Edinburgh Equity Exchange","low","GBP","fault","mail","I decided to test the stability of a ladder by standing on the very top, but it wobbled and I fell off.","motor","ENG","30.07.2023 21:45:43"
"1784971898053","Personal Auto Line","open"," C@!L!Y !6$0@6 0$7#1 $R@$L","05.01.2021","17.07.2024 19:04:03","Glasgow Growth Securities","high","GBP","not applicable","phone","I attempted to build a makeshift ramp for my bike using a plank of wood, but it broke upon impact, sending me flying into a bush.","motor","WAL","30.07.2023 21:45:43"
"1631129641308","Property",""," C@#L !Y#@4 #3!9 #15 $6S#W","07.07.2020","07.07.2028 04:16:57","Bristol Bankers","high","GBP","unknown","phone","","motor","ENG","30.07.2023 21:45:43"
"4900815781278","Commercial Auto Line","closed","CL!$Y!7@!2#$0 05!7H Q","23.05.2019","16.08.2027 12:11:01","Aberdeen Asset Management","low","EUR","non-fault","web","","motor","ENG","30.07.2023 21:45:43"
"7373100085996","Road Risks","open","@!C$#LY@!5@#7!4@#2 5 @6!@QT","25.11.2018","","Glasgow Growth Securities","low","GBP","fault","web","I borrowed my friend's drone to capture a stunning aerial video, but it ended up crashing into a tree and getting entangled in a squirrel's nest.","motor","ENG","30.07.2023 21:45:43"
"1750035884401","Property","open","C! L$ Y#!5@!9 $7!8#$94 @E!R","09.02.2020","25.02.2027 11:48:23","Bristol Bankers","high","EUR","not applicable","web","I tried to capture a squirrel that was stealing birdseed by setting up a complex Rube Goldberg machine, but it backfired and launched birdseed all over my living room.","motor","WAL","30.07.2023 21:45:43"
"524739915164","","","C #L@!Y$!4@#4# 1 #71#$0!@H!#Y","07.10.2018","26.11.2025 06:14:02","Southampton Securities","low","EUR","unknown","web","While attempting to play fetch with my dog in the living room, I accidentally knocked over a lamp with the toy.","motor","ENG","30.07.2023 21:45:43"
"4175490278952","Commercial Auto Line","open","! C!@L$Y4# 8!$0$0#$2 #6 $D#!R","15.08.2020","17.09.2026 01:31:14","Birmingham Broking Solutions","low","EUR","non-fault","phone","While attempting to fix a leaky faucet, I accidentally broke the handle and water started spraying everywhere.","motor","SCO","30.07.2023 21:45:43"
"8240641433339","Road Risks","open","!@C@#L !Y! 7#2@ 2!$3#1$!1@#W!@Z","","03.07.2026 00:31:22","Belfast Business Partners","low","EUR","","mail","I thought it would be entertaining to have a water gun fight in the living room, but we ended up soaking all the furniture.","motor","NIR","30.07.2023 21:45:43"
"978480529343","Commercial Auto Line","open","@!C $L !Y!3$!6$4!#9#!7 #5@!BE","15.01.2020","24.03.2025 08:45:05","Belfast Brokers","high","EUR","fault","mail","","motor","SCO","30.07.2023 21:45:43"
"3977905599152","Personal Auto Line","open","# CL!$Y 60$ 0 !2@$8#9F# A","05.07.2020","14.06.2027 19:55:34","Belfast Business Partners","high","EUR","not applicable","phone","I thought it would be funny to dress up as a superhero and attempt to fly off a low roof, but I ended up crash-landing into a bush.","motor","NIR","30.07.2023 21:45:43"
"2002690105837","Personal Auto Line","open","C$ L$Y$ 7#!0 !44@#5#5YZ","04.10.2021","30.05.2028 15:57:08","Nottinghamshire Wealth","medium","EUR","fault","web","I thought it would be entertaining to have a water balloon fight in the living room, but we ended up causing a small flood.","motor","ENG","30.07.2023 21:45:43"
"1860009925029","Property","closed"," #C@$L$#Y! 67$@2$@5#2$!7!V@#N","12.08.2019","02.10.2024 05:29:59","Edinburgh Equity Exchange","high","EUR","","phone","I decided to test the slipperiness of a banana peel by stepping on it, but it sent me sliding across the floor and crashing into a bookshelf.","motor","SCO","30.07.2023 21:45:43"
"2919258206167","Personal Auto Line","closed","#@C #L@!Y92$ 1$#5$60#!R#C","15.10.2021","15.01.2025 13:19:05","Cambridge Corporate Finance","high","EUR","fault","phone","I decided to test the durability of a bicycle helmet by hitting it with a hammer, only to have the hammer bounce back and hit me on the head.","motor","ENG","30.07.2023 21:45:43"
"5659379757574","Personal Auto Line","closed"," @C!$L# Y !2#7# 9#!594!#Q# A","11.05.2021","06.11.2027 18:01:59","Essex Wealth Management","high","GBP","not applicable","phone","I decided to test the strength of a chair by standing on it, but it collapsed, and I fell onto the floor.","motor","WAL","30.07.2023 21:45:43"
"9692804197281","Road Risks","open","@CL$ Y# 9!$8!@59!#7# 8$#V $K","06.10.2019","10.08.2023 19:11:15","Edinburgh Elite Equity","medium","GBP","fault","phone","I thought it would be entertaining to have a water balloon fight in the living room, but we ended up causing a small flood.","","WAL","30.07.2023 21:45:43"
"8460035366764","Property","open","$!C$@L Y!#5#@2 $33@#5@$5I@!O","18.01.2020","29.10.2026 15:57:53","Oxfordshire Options Advisors","high","GBP","unknown","phone","I thought it would be amusing to try riding a unicycle while juggling knives, but it quickly turned into a chaotic scene with knives flying in all directions.","property","NIR","30.07.2023 21:45:43"
"5441729740452","Personal Auto Line","closed","@!C @L@!Y6#@0#$84#@7!@6!#I $A","06.08.2022","16.01.2028 07:24:40","Cambridge Capital Advisors","medium","GBP","unknown","phone","While trying to impress my friends with my acrobatic skills, I attempted a backflip and crashed into a table full of snacks.","motor","NIR","30.07.2023 21:45:43"
"6427239476962","Property","open","@C$L #Y!2!#1 !6 !6@#15@#P@!M","04.09.2022","10.02.2024 14:24:42","Manchester Money Exchange","high","GBP","","phone","I thought it would be fun to try tightrope walking between two trees, but I ended up falling and getting tangled in a clothesline.","motor","ENG","30.07.2023 21:45:43"
"3567093398857","Road Risks","open","CL#Y9#$4! 9@4$@3@!4I$ W","29.11.2022","25.12.2025 10:54:09","Belfast Brokers","medium","EUR","not applicable","phone","I decided to test the stickiness of super glue by repairing my broken glasses, only to glue them to my forehead.","motor","NIR","30.07.2023 21:45:43"
"9494471039829","Personal Auto Line","open"," #C@L!#Y077#@613D$ G","06.03.2023","05.07.2026 00:52:39","Southampton Stockbrokers","medium","GBP","not applicable","phone","I decided to test the slipperiness of a banana peel by stepping on it, but it sent me sliding across the floor and crashing into a bookshelf.","motor","WAL","30.07.2023 21:45:43"
"3953967879563","Commercial Auto Line","open","C$L@Y$!4 $41@63 0@H$@I","15.10.2022","20.06.2027 18:19:26","Leeds Lending Services","medium","EUR","unknown","phone","I decided to test the durability of my new shoes by wearing them during a muddy obstacle course race, only to have them completely ruined by the end.","motor","WAL","30.07.2023 21:45:43"
"5722735941502","Commercial Auto Line","open","#!C#$L Y $4 6@$8!@7@ 3 #0I N","09.10.2018","31.10.2025 20:42:56","Oxfordshire Options Trading","medium","EUR","unknown","web","I decided to test the sharpness of a kitchen knife by attempting to slice a tomato held in my hand, resulting in a small but messy injury.","motor","WAL","30.07.2023 21:45:43"
"3135381756301","Commercial Auto Line","closed","CL$ Y#@93@9! 2!$9 @2! BX","09.08.2019","26.08.2027 19:46:20","Aberdeen Asset Managers","high","EUR","not applicable","web","While attempting to do a handstand on a yoga ball, I lost my balance and crashed into a set of dumbbells.","motor","WAL","30.07.2023 21:45:43"
"476030268414","Property","open"," #C!@L$@Y! 0#!1$#9 $52@4@#A K","11.08.2020","05.12.2023 12:33:19","Edinburgh Emerging Wealth","low","EUR","non-fault","web","","motor","WAL","30.07.2023 21:45:43"
"9655003388668","Road Risks","open","@C@$L!@Y $3@#8$!8!#5 72@ K O","01.11.2019","06.01.2026 23:58:54","Edinburgh Earnings Advisors","medium","GBP","non-fault","phone","While trying to impress my friends with my acrobatic skills, I attempted a backflip and crashed into a table full of snacks.","property","WAL","30.07.2023 21:45:43"
"8676115248154","Road Risks","closed","$#C$!L! Y$!9 !0$ 3 !8$@4!$6 $A!#K","04.12.2020","09.01.2027 08:15:29","Glasgow Gate Capital","medium","GBP","not applicable","other","I decided to test the stability of a ladder by standing on the very top, but it wobbled and I fell off.","motor","NIR","30.07.2023 21:45:43"
"2469216080701","Property","closed"," @C!L $Y#!8@#1@!1#$1! 5!$9 @F !J","28.12.2021","02.03.2024 05:05:31","Kent Financial Group","medium","GBP","non-fault","web","I decided to test the endurance of my running shoes by participating in a marathon, but they fell apart halfway through the race.","motor","ENG","30.07.2023 21:45:43"
"2691322212398","Commercial Auto Line","closed","!$CLY#7! 45#!2#$9@4F#$D","21.03.2022","15.09.2025 21:13:14","Westminster Wealth Management","low","GBP","unknown","phone","While attempting to do a handstand on a yoga ball, I lost my balance and crashed into a set of dumbbells.","motor","ENG","30.07.2023 21:45:43"
"5474773375984","Road Risks","closed"," !C@ L@#Y#$50 $1#@62@5Z@H","19.12.2018","30.05.2026 00:55:03","Leeds Asset Management","low","GBP","unknown","phone","","motor","WAL","30.07.2023 21:45:43"
"8712414391003","Personal Auto Line","closed","$C LY$#7 !9$ 9 80@$4 $N#$H","19.12.2018","31.08.2026 20:48:17","Windsor Securities","medium","EUR","non-fault","web","While trying to show off my basketball skills, I attempted a slam dunk and shattered the backboard.","motor","SCO","30.07.2023 21:45:43"
"3560003890382","Property","open","!#C@!L@$Y 7@9@!1 #0 @7 0S$!A","24.01.2019","12.05.2027 18:05:37","Southampton Securities","high","GBP","fault","phone","I thought it would be fun to try riding a skateboard down a staircase, but I lost my balance and crashed into a wall.","motor","SCO","30.07.2023 21:45:43"
"5305394083757","Commercial Auto Line","closed","CLY@6! 8!5 !75$#5 #B$@G","22.01.2021","01.11.2024 23:00:21","Nottinghamshire Investment Solutions","medium","EUR","unknown","web","","motor","ENG","30.07.2023 21:45:43"
"8570850154701","Personal Auto Line","closed"," !C#!L# Y 7!9$#91!@7$0$!A#A","12.12.2022","30.04.2024 04:49:53","Edinburgh Equity Exchange","high","EUR","non-fault","phone","","motor","WAL","30.07.2023 21:45:43"
"5014324901508","Road Risks","closed","@!C!L$Y3@!7@!1#8 $76H#@M","01.10.2022","22.10.2026 05:21:17","Liverpool Lenders","medium","GBP","unknown","web","I decided to test the strength of a hammock by jumping onto it from a tree branch, only to have it rip and send me crashing to the ground.","","NIR","30.07.2023 21:45:43"
"3670260213486","Commercial Auto Line","open","$ C$@L@ Y52 0!@7$#3$#8!#A@ Z","31.08.2020","23.08.2027 02:28:07","Nottinghamshire Investment Solutions","high","GBP","fault","phone","While trying to impress my friends with my acrobatic skills, I attempted a backflip and crashed into a table full of snacks.","motor","ENG","30.07.2023 21:45:43"
"7098581714750","Commercial Auto Line","","C@LY $4 #3!7 #0@#2# 8 #I#@E","03.09.2022","08.02.2027 05:54:58","Glasgow Gatekeepers","low","EUR","","web","I thought it would be funny to dress up as a superhero and attempt to fly off a swing, but I ended up face-planting into the ground.","motor","SCO","30.07.2023 21:45:43"
"5332267969708","Road Risks","closed","$!CL#@Y !7# 8$#65 #9# 8!T$@G","21.06.2021","15.09.2024 21:15:59","Britannia Brokers","low","EUR","non-fault","web","","motor","NIR","30.07.2023 21:45:43"
"8850165504893","Personal Auto Line","closed","# C L!Y1@3 $483#!2 F $B","12.11.2022","","Belfast Bridge Street Brokers","high","GBP","non-fault","web","While trying to take a selfie with a statue, I accidentally knocked it over and broke it into pieces.","motor","ENG","30.07.2023 21:45:43"
"6786764085106","Property","open"," @C#L@ Y@0@#3#!674#!5#!K$N","16.12.2022","13.07.2027 10:36:15","Dundee Investment Services","","EUR","","phone","I thought it would be funny to dress up as a scarecrow and surprise my friends in the garden, but I ended up scaring away the birds and ruining the plants.","motor","ENG","30.07.2023 21:45:43"
"9274015957646","Road Risks","open"," !C#!LY @9#@2$1!$1# 2$!7#@OV","12.04.2022","09.04.2024 09:16:51","Newcastle National Wealth","low","GBP","non-fault","phone","I decided to test the strength of a hammock by jumping onto it from a tree branch, only to have it rip and send me crashing to the ground.","motor","ENG","30.07.2023 21:45:43"
"7176517182073","Personal Auto Line","open","#$C !L @Y!$7$!3$9$2!#6!@9C#!A","26.06.2022","28.12.2024 14:50:54","Birmingham Broking Solutions","medium","EUR","fault","phone","I thought it would be entertaining to try juggling eggs, but they slipped out of my hands and made a mess all over the kitchen floor.","motor","NIR","30.07.2023 21:45:43"
"9360601529040","Commercial Auto Line","open","$@C# LY !5@ 9$#7$@7# 8!#6 @J!@D","28.08.2020","02.04.2028 17:38:03","Surrey Structured Finance","high","EUR","fault","mail","","motor","WAL","30.07.2023 21:45:43"
"4229010178703","Commercial Auto Line","open"," @C!$LY6!5127@$3$!A#!Y","20.03.2019","20.01.2024 14:19:09","Liverpool Lenders","low","EUR","unknown","phone","I thought it would be funny to try riding a unicycle while juggling knives, but it quickly turned into a chaotic scene with knives flying in all directions.","motor","NIR","30.07.2023 21:45:43"
"7836486316749","Road Risks","closed","! C$L#$Y! 2#4#$89 #1$0H$#H","26.04.2022","11.01.2025 12:52:27","Nottinghamshire Investment Bank","high","GBP","unknown","web","I decided to test the sharpness of a kitchen knife by attempting to slice a tomato held in my hand, resulting in a small but messy injury.","motor","NIR","30.07.2023 21:45:43"
"6511774252359","Personal Auto Line","closed","$!C!#L Y$@1@3$!1$46 $9!#J@#J","16.12.2022","20.03.2028 20:53:19","Windsor Securities","high","GBP","fault","web","I thought it would be funny to challenge my friends to a race in a supermarket using shopping carts, but we ended up crashing into a display of canned soup.","motor","ENG","30.07.2023 21:45:43"
"5668585832618","Personal Auto Line","open","$ C!L@$Y#$5!$8 $2@$77@ 8@#ZH","31.12.2021","31.05.2027 03:51:18","Glasgow Growth Fund","low","GBP","fault","web","While attempting to breakdance on a slippery dance floor, I ended up doing the splits and tearing my pants.","motor","WAL","30.07.2023 21:45:43"
"5085731622382","Road Risks","open","#!C$ L @Y@9 @3# 1!@3@ 1@8$#V #B","10.11.2019","14.06.2027 05:33:09","Leeds Loan Brokers","high","GBP","non-fault","web","I decided to test the sharpness of a kitchen knife by attempting to slice a watermelon held in my hand, resulting in a trip to the emergency room.","motor","WAL","30.07.2023 21:45:43"
"914938682087","Commercial Auto Line","closed"," #C! LY23$3 2$ 0@#7$!U@$M","30.11.2022","04.08.2026 06:12:49","Manchester Money Lenders","medium","GBP","not applicable","phone","I thought it would be funny to dress up as a scarecrow and surprise my friends in the garden, but I ended up scaring away the birds and ruining the plants.","motor","ENG","30.07.2023 21:45:43"
"5350512624345","Property","closed","C$LY $3@!77!95# 9U#@H","02.07.2019","17.03.2024 08:42:25","Belfast Bond Traders","low","EUR","fault","phone","While trying to show off my basketball skills, I attempted a slam dunk and shattered the backboard.","motor","ENG","30.07.2023 21:45:43"
"9182506103145","Commercial Auto Line","closed","#$C !LY$ 3$ 8#8@2!$05!#Y Q","25.04.2020","12.01.2028 02:02:56","Bristol Bond Brokers","low","GBP","unknown","phone","While trying to show off my basketball skills, I attempted a slam dunk and shattered the backboard.","motor","","30.07.2023 21:45:43"
"9695848363412","Property","open","# C@!L!Y$#6!$00!$8#3!@4$@F#!Z","25.08.2019","22.01.2026 19:24:04","Westminster Wealth Management","low","GBP","unknown","web","While attempting to capture a spider in my house, I accidentally knocked over a shelf, causing a chain reaction that toppled multiple shelves.","motor","NIR","30.07.2023 21:45:43"
"6719024924792","Road Risks","closed","C#$L#$Y#@7 4#@84#32 !H!Y","10.03.2023","23.11.2026 09:47:46","Cardiff Capital Brokers","medium","","non-fault","web","I decided to test the strength of a chair by standing on it, but it collapsed, and I fell onto the floor.","motor","WAL","30.07.2023 21:45:43"
"7254078095661","Property","open"," C@$L@!Y #99@!7731#!Z!@Q","07.02.2021","20.12.2026 10:46:53","Britannia Brokers","low","EUR","not applicable","phone","I tried to impress my date by juggling flaming torches and accidentally set fire to my living room.","motor","SCO","30.07.2023 21:45:43"
"6621676178593","Road Risks","open","$ C#$L !Y#588#@7!31@$WY","15.01.2020","20.01.2027 00:40:07","Kent Financial Group","high","EUR","non-fault","phone","I thought it would be funny to challenge my friends to a race in a supermarket using shopping carts, but we ended up crashing into a display of canned soup.","motor","SCO","30.07.2023 21:45:43"
"4526407013681","Commercial Auto Line","closed"," $C@ LY!#811 @9 !7!@9@$A@!I","28.06.2022","13.03.2026 14:38:02","Nottinghamshire Investment Advisors","medium","GBP","fault","phone","While trying to make a grand entrance at a party, I tripped on the red carpet and knocked over the buffet table.","","ENG","30.07.2023 21:45:43"
"1390149395492","Property","closed","@#C$#L$#Y7@138!3!$2#N$!S","24.08.2018","25.09.2023 22:42:03","Kent Key Capital","low","EUR","non-fault","phone","While trying to impress my friends with my dance moves, I tripped on my shoelaces and fell into a cake.","motor","SCO","30.07.2023 21:45:43"
"6646322487159","Property","closed"," !C@#L$#Y$2!@6!#8!2$!8#8#Q@$S","29.07.2020","07.08.2025 12:34:44","Essex Wealth Management","medium","GBP","not applicable","web","I borrowed my friend's drone to capture a stunning aerial video, but it ended up crashing into a tree and getting entangled in a squirrel's nest.","motor","SCO","30.07.2023 21:45:43"
"1904968692950","Property","open","$!C@L$#Y$9#!3 6!@6 $4# 9# U$ E","06.05.2020","02.06.2027 20:53:19","Kent Financial Group","low","EUR","not applicable","phone","While attempting to perform a magic trick with fire, I accidentally set my curtains ablaze.","motor","ENG","30.07.2023 21:45:43"
"4247757263466","Personal Auto Line","open","C@#L!$Y@$3!$4!3#@7@!3@0@$P!#J","24.11.2019","01.02.2027 14:07:08","Dundee Derivatives Market","high","EUR","not applicable","web","While trying to balance on a tightrope, I lost my footing and crashed into a picnic table full of food.","motor","WAL","30.07.2023 21:45:43"
"9969717597602","","open","@!C!#L$ Y@ 3! 9#@3@66$#9 $NY","02.04.2019","16.11.2023 09:00:40","Southampton Stockbrokers","high","GBP","non-fault","other","I decided to test the stickiness of super glue by attempting to repair my broken glasses, only to glue them to my forehead.","motor","SCO","30.07.2023 21:45:43"
"8879002817933","Commercial Auto Line","closed","!@C$#L@ Y#3#$9$#7@!9!@4$ 9Y!@Z","08.08.2022","23.03.2026 15:19:20","Southampton Stockbrokers","low","EUR","not applicable","web","While attempting to fix a leaky roof, I accidentally stepped on a weak spot and fell through the ceiling, landing in the living room.","motor","SCO","30.07.2023 21:45:43"
"3062157673620","Road Risks","open","$@C #LY #2 $6!$05 @6@#0!#O#!T","01.01.2021","08.04.2027 09:27:51","Norfolk Investment Solutions","","EUR","non-fault","web","I decided to test the strength of a ladder by standing on the very top rung, resulting in a toppled ladder and a bruised ego.","motor","WAL","30.07.2023 21:45:43"
"5071088756867","Personal Auto Line","closed","$@CL$#Y #4$#05 2$!7#$4@SL","12.07.2021","21.10.2025 21:05:40","Norfolk Investment Solutions","low","EUR","unknown","phone","I thought it would be fun to build a homemade water slide in the backyard, but it turned into a muddy disaster after the first slide.","motor","WAL","31.07.2023 21:45:43"
"2863933702999","Property","open"," $C#!L$Y$!0 $28 #5#3$6 #S #Q","17.01.2019","27.12.2025 09:08:53","Belfast Brokers","low","","unknown","web","I thought it would be fun to try tightrope walking between two trees, but I ended up falling and getting tangled in a clothesline.","motor","ENG","31.07.2023 21:45:43"
"3885132164740","Property","closed","$!C!#LY! 47$!0@ 3!35P!@B","23.09.2019","08.02.2024 03:07:51","Edinburgh Equity Exchange","high","EUR","unknown","web","I decided to test the slipperiness of a banana peel by stepping on it, but it sent me sliding across the floor and crashing into a bookshelf.","motor","NIR","31.07.2023 21:45:43"
"154202537104","Personal Auto Line","open","@C!#L#Y 1#@7$!1!#0!5!#4#@U!@Z","04.08.2021","07.11.2023 10:12:40","Edinburgh Emerging Wealth","high","GBP","unknown","phone","While attempting to climb a tree to rescue a stranded cat, I got stuck and had to be rescued myself.","property","ENG","31.07.2023 21:45:43"
"8422520836934","Road Risks","closed","$C #L# Y5# 3@#41#@99#@C@ F","11.04.2022","13.02.2028 08:05:35","Leeds Lending Services","high","GBP","fault","phone","While trying to show off my basketball skills, I attempted a slam dunk and shattered the backboard.","motor","WAL","31.07.2023 21:45:43"
"4100187833989","Road Risks","closed","!$C# L#$Y!$8@!39 3@ 0$#8!R#@W","","11.01.2028 20:34:33","Surrey Sustainable Investments","medium","GBP","unknown","web","I decided to test the stickiness of super glue by repairing my broken glasses, only to glue them to my forehead.","motor","SCO","31.07.2023 21:45:43"
